id,name,address,zipcode,phone,website,latitude,longitude
49144,Lake Mead NRA,CA,,,,35.96622528,-114.3469067
49145,Lake Meredith NRA,HI,,,,35.61926203,-101.6820066
49146,Lake Roosevelt NRA,HI,,,,48.17148735,-118.3513713
49147,Lassen Volcanic NP,AK,,,,40.49354575,-121.4075993
49148,Lava Beds NM,AK,,,,41.75915823,-121.5172189
49149,LBJ Memorial Grove on the Potomac,AK,,,,38.87858036,-77.05145832
49150,Lewis & Clark NHP,WA,,,,46.21178735,-123.9638583
49151,Lincoln Boyhood NMEM,ND,,,,38.11817004,-86.99656861
49152,Lincoln Home NHS,AK,,,,39.79715642,-89.64513397
49153,Lincoln Memorial,DC,,,,38.88927229,-77.05017778
49154,Little Bighorn Battlefield NM,AK,,,,45.55633048,-107.4183614
49155,Little Rock Central High School NHS,NV,,,,34.7369465,-92.29987899
49156,Longfellow NHS,TX,,,,42.37698854,-71.12636956
49157,Lowell NHP,WA,,,,42.6455371,-71.31588673
49158,Lyndon B. Johnson NHP,CA,,,,30.2519655,-98.60692433
49159,Maggie L. Walker NHS,CA,,,,37.54781499,-77.43746979
49160,Mammoth Cave NP,DC,,,,37.19760458,-86.13090198
49161,Manzanar NHS,OR,,,,36.72559195,-118.1547177
49162,Marsh-Billings-Rockefeller NHP,IN,,,,43.63348732,-72.53424638
49163,"Martin Luther King, Jr. Memorial",DC,,,,38.88622769,-77.04421955
49164,"Martin Luther King, Jr. NHS",MT,,,,33.75618241,-84.37256768
49165,Martin Van Buren NHS,AR,,,,42.36819596,-73.70834257
49166,Mesa Verde NP,MA,,,,37.23908345,-108.4624032
49167,Minute Man NHP,MA,,,,42.4562778,-71.30738884
49168,Minuteman Missile NHS,TX,,,,43.89558013,-102.0272131
49169,Monocacy NB,VA,,,,39.36084236,-77.39637677
49170,Montezuma Castle NM,KY,,,,34.62237771,-111.8147857
49171,Moores Creek NB,CA,,,,34.45820776,-78.11031134
49172,Morristown NHP,DC,,,,40.7650755,-74.53455122
49173,Mount Rainier NP,GA,,,,46.86075416,-121.7043885
49174,Mount Rushmore NMEM,NY,,,,43.88037021,-103.4525186
49175,Muir Woods NM,CO,,,,37.89658027,-122.5808047
49176,Natchez NHP,MA,,,,31.54697621,-91.39040665
49177,National Park of American Samoa,SD,,,,-14.22865935,-169.8503777
49178,Natural Bridges NM,MD,,,,37.6045329,-110.0022436
49179,Navajo NM,AZ,,,,36.71755643,-110.5504015
49180,New Bedford Whaling NHP,NC,,,,41.63540552,-70.92322321
49181,New Orleans Jazz NHP,WA,,,,29.96303129,-90.06749669
49182,Nez Perce NHP,SD,,,,46.07019093,-115.8761258
49183,Nicodemus NHS,CA,,,,39.39167606,-99.61680329
49184,Ninety Six NHS,UT,,,,34.14273587,-82.01636079
49185,North Cascades NP,AZ,,,,48.71171756,-121.2069423
49186,Ocmulgee NM,MA,,,,32.83816576,-83.60224853
49187,Olympic NP,LA,,,,47.80392754,-123.6663848
49188,Oregon Caves NM,ID,,,,42.10319143,-123.4018586
49189,Organ Pipe Cactus NM,KS,,,,32.03585543,-112.8573314
49190,Padre Island NS,SC,,,,27.05381186,-97.35901135
49191,Palo Alto Battlefield NHP,WA,,,,26.02387351,-97.46296072
49192,Pennsylvania Avenue NHS,GA,,,,38.89426856,-77.02506554
49193,Perry's Victory & Intl. Peace MEM,WA,,,,41.65449782,-82.8115794
49194,Petersburg NB,OR,,,,37.19109957,-77.47594865
49195,Petrified Forest NP,AZ,,,,34.98387664,-109.7877678
49196,Petroglyph NM,TX,,,,35.13915998,-106.7491456
49197,Pinnacles NP,TX,,,,36.49029208,-121.1813607
49198,Pipe Spring NM,DC,,,,36.86282666,-112.7398567
49199,Pipestone NM,OH,,,,44.01351958,-96.32475523
49200,Point Reyes NS,VA,,,,38.05511241,-122.8797804
49201,Port Chicago Naval Magazine NM,AZ,,,,38.05685472,-122.0301603
49202,President W.J. Clinton Birthplace Home NHS,NM,,,,33.66758356,-93.59641868
49203,Pu'uhonua o Honaunau NHP,CA,,,,19.41268627,-155.9008789
49204,Pu'ukohola Heiau NHS,AZ,,,,20.02772186,-155.8211629
49205,Rainbow Bridge NM,MN,,,,37.07788771,-110.9655099
49206,Redwood NP,CA,,,,41.37237268,-124.0318129
49207,Rocky Mountain NP,CA,,,,40.3556924,-105.6972879
49208,Roger Williams NMEM,AR,,,,41.8298955,-71.41056665
49209,Russell Cave NM,HI,,,,34.97402063,-85.81560314
49210,Sagamore Hill NHS,HI,,,,40.88579128,-73.49686438
49211,Saguaro NP,UT,,,,32.20909636,-110.7574974
49212,Saint Paul's Church NHS,CA,,,,40.89283511,-73.82577276
49213,Saint-Gaudens NHS,CO,,,,43.4997238,-72.37333969
49214,Salem Maritime NHS,NY,,,,42.52024529,-70.88640867
49215,Salinas Pueblo Missions NM,AZ,,,,34.35423203,-106.2050309
49216,Salt River Bay NHP & Ecological Pres,NY,,,,17.77908602,-64.75519348
49217,San Antonio Missions NHP,MA,,,,29.31262089,-98.4289522
49218,San Francisco Maritime NHP,NM,,,,37.81005871,-122.4244415
49219,San Juan Island NHP,VI,,,,48.51241933,-123.0610277
49220,San Juan NHS,TX,,,,18.46873857,-66.11848623
49221,Sand Creek Massacre NHS,CA,,,,38.56414189,-102.5169542
49222,Santa Monica Mountains NRA,WA,,,,34.09777606,-118.7708619
49223,Saratoga NHP,CO,,,,42.99522612,-73.63386108
49224,Saugus Iron Works NHS,CA,,,,42.46830664,-71.0076953
49225,Scotts Bluff NM,NY,,,,41.83464193,-103.7071351
49226,Shenandoah NP,MA,,,,38.49236644,-78.46907715
49227,Sitka NHP,NE,,,,57.04718173,-135.3156876
49228,Springfield Armory NHS,VA,,,,42.1086368,-72.57967415
49229,Statue of Liberty NM,AK,,,,40.69572149,-74.04232397
49230,Steamtown NHS,MA,,,,41.40757521,-75.67037255
49231,Stones River NB,NY,,,,35.87608652,-86.43078399
49232,Sunset Crater Volcano NM,PA,,,,35.37114323,-111.510376
49233,Thaddeus Kosciuszko NMEM,TN,,,,39.94345312,-75.14732045
49234,Theodore Roosevelt Birthplace NHS,AZ,,,,40.7386469,-73.98903703
49235,Theodore Roosevelt Inaugural NHS,PA,,,,42.90146781,-78.87248411
49236,Theodore Roosevelt Island,NY,,,,38.89584162,-77.06241918
49237,Theodore Roosevelt NP,NY,,,,47.17777274,-103.4300083
49238,Thomas Edison NHP,VA,,,,40.78549896,-74.23821139
49239,Thomas Stone NHS,ND,,,,38.52934443,-77.037813
49240,Timpanogos Cave NM,NJ,,,,40.44039719,-111.7093944
49241,Tonto NM,MD,,,,33.64842945,-111.1135627
49242,Tumacacori NHP,UT,,,,31.56120725,-111.0385236
49243,Tuskegee Airmen NHS,AZ,,,,32.45538671,-85.67983321
49244,Tuskegee Institute NHS,AZ,,,,32.42962115,-85.70488498
49245,Tuzigoot NM,AL,,,,34.77296377,-112.0279069
49246,Ulysses S. Grant NHS,AL,,,,38.55182374,-90.35169255
