id,city_name,latitude,longitude,country_code
241,Aliceville,33.122813,-88.166689,USA
242,Allgood,33.911944,-86.509444,USA
243,Alma,31.463889,-87.753889,USA
244,Alpine,33.331165,-86.208934,USA
245,Alton,33.579167,-86.6375,USA
246,Altoona,34.042916,-86.350879,USA
247,Andalusia,31.297142,-86.490468,USA
248,Annemanie,32.052778,-87.570833,USA
249,Anniston,33.653896,-85.838152,USA
250,Arab,34.328339,-86.489638,USA
251,Ardmore,34.980447,-86.834612,USA
252,Ariton,31.582996,-85.707716,USA
253,Arley,34.063234,-87.182761,USA
254,Arlington,32.066784,-87.559691,USA
255,Ashford,31.1888,-85.253488,USA
256,Ashland,33.247363,-85.828976,USA
257,Ashville,33.837366,-86.255167,USA
258,Athens,34.803604,-86.970733,USA
259,Atmore,31.057245,-87.487347,USA
260,Attalla,34.029597,-86.096717,USA
261,Auburn,32.602043,-85.489001,USA
262,Auburn University,32.601,-85.4882,USA
263,Autaugaville,32.462462,-86.714938,USA
264,Axis,31.006817,-88.04274,USA
265,Baileyton,34.268298,-86.621299,USA
266,Banks,31.836792,-85.799844,USA
267,Bankston,33.70083,-87.68965,USA
268,Bay Minette,30.86354,-87.76444,USA
269,Bayou La Batre,30.407983,-88.250697,USA
270,Bear Creek,34.213469,-87.686083,USA
271,Beatrice,31.727324,-87.171912,USA
272,Beaverton,33.942877,-88.01567,USA
273,Belk,33.6475,-87.931389,USA
274,Bellamy,32.448889,-88.133611,USA
275,Belle Mina,34.656667,-86.879167,USA
276,Bellwood,31.173056,-85.793333,USA
277,Berry,33.694485,-87.622563,USA
278,Bessemer,33.409002,-86.947547,USA
279,Billingsley,32.610578,-86.716301,USA
280,Birmingham,33.519,-86.8014,USA
281,Black,31.01318,-85.745634,USA
282,Blountsville,34.092937,-86.568628,USA
283,Boaz,34.173889,-86.121111,USA
284,Boligee,32.774646,-88.026652,USA
285,Bon Air,33.263611,-86.335556,USA
286,Bon Secour,30.328883,-87.721355,USA
287,Booth,32.500278,-86.571944,USA
288,Boykin,32.077778,-87.281389,USA
289,Brantley,31.570963,-86.274343,USA
290,Bremen,33.973664,-87.004281,USA
291,Brent,32.93567,-87.211387,USA
292,Brewton,31.118926,-87.067325,USA
293,Bridgeport,34.944638,-85.727681,USA
294,Brierfield,33.042747,-86.951672,USA
295,Brilliant,34.037702,-87.756315,USA
296,Brooklyn,31.2625,-86.771111,USA
297,Brookside,33.637778,-86.916667,USA
298,Brookwood,33.277523,-87.309025,USA
299,Brownsboro,34.716733,-86.468703,USA
300,Brundidge,31.701324,-85.817668,USA
301,Bryant,34.945026,-85.632445,USA
302,Bucks,31.010278,-88.024167,USA
303,Buhl,33.249448,-87.718886,USA
304,Burnt Corn,31.458009,-86.925771,USA
305,Burnwell,33.707778,-87.0875,USA
306,Butler,32.082906,-88.206391,USA
307,Bynum,33.613056,-85.961111,USA
308,Calera,33.1098,-86.755987,USA
309,Calvert,31.160556,-88.031111,USA
310,Camden,32.004732,-87.295049,USA
311,Camp Hill,32.782749,-85.64738,USA
312,Campbell,31.963512,-88.006072,USA
313,Capshaw,34.773056,-86.792778,USA
314,Carbon Hill,33.909252,-87.540328,USA
315,Cardiff,33.645556,-86.933611,USA
316,Carlton,31.322449,-87.837793,USA
317,Carrollton,33.248506,-88.132122,USA
318,Castleberry,31.326113,-87.026754,USA
319,Catherine,32.182,-87.483623,USA
320,Cecil,32.300891,-86.011241,USA
321,Cedar Bluff,34.241662,-85.602567,USA
322,Centre,34.111592,-85.609229,USA
323,Centreville,32.950324,-87.11924,USA
324,Chancellor,31.173379,-85.910897,USA
325,Chapman,31.671111,-86.712222,USA
326,Chatom,31.487638,-88.269887,USA
327,Chelsea,33.371582,-86.614132,USA
328,Cherokee,34.744188,-87.972445,USA
329,Childersburg,33.266928,-86.337622,USA
330,Choccolocco,33.659167,-85.703611,USA
331,Chunchula,30.991178,-88.131126,USA
332,Citronelle,31.042533,-88.254949,USA
333,Clanton,32.835532,-86.642472,USA
334,Clay,33.7025,-86.599722,USA
335,Clayton,31.887413,-85.450932,USA
336,Cleveland,33.992106,-86.559355,USA
337,Clinton,32.913611,-87.9925,USA
338,Clio,31.68521,-85.590419,USA
339,Clopton,31.602843,-85.482308,USA
340,Cloverdale,34.938611,-87.771389,USA
341,Coaling,33.158889,-87.340833,USA
342,Coden,30.418834,-88.168276,USA
343,Coffee Springs,31.138758,-85.918224,USA
344,Coffeeville,31.78428,-88.071542,USA
345,Coker,33.252612,-87.636528,USA
346,Collinsville,34.267957,-85.861969,USA
347,Columbia,31.335235,-85.145488,USA
348,Columbiana,33.176964,-86.616145,USA
349,Cook Springs,33.589722,-86.361944,USA
350,Coosada,32.496667,-86.331667,USA
351,Cottondale,33.176667,-87.387051,USA
352,Cottonton,32.146667,-85.073889,USA
353,Cottonwood,31.098934,-85.375665,USA
354,Courtland,34.671866,-87.314255,USA
355,Cowarts,31.2,-85.304722,USA
356,Coy,31.888851,-87.392558,USA
357,Cragford,33.217148,-85.710797,USA
358,Crane Hill,34.082117,-87.048395,USA
359,Creola,30.901267,-88.017414,USA
360,Cropwell,33.506448,-86.280026,USA
361,Crossville,34.258784,-86.030575,USA
362,Cuba,32.410973,-88.361083,USA
363,Cullman,34.176146,-86.829777,USA
364,Cusseta,32.803194,-85.215791,USA
365,Dadeville,32.82239,-85.770395,USA
366,Daleville,31.281091,-85.730473,USA
367,Danville,34.452189,-87.053187,USA
368,Daphne,30.61972,-87.889522,USA
369,Dauphin Island,30.252057,-88.109644,USA
370,Daviston,33.033471,-85.753831,USA
371,Dawson,34.356838,-85.929161,USA
372,De Armanville,33.626389,-85.751389,USA
373,Deatsville,32.613405,-86.338211,USA
374,Decatur,34.589599,-86.98868,USA
375,Deer Park,31.184892,-88.32731,USA
376,Delmar,34.17,-87.605833,USA
377,Delta,33.457303,-85.679279,USA
378,Demopolis,32.490792,-87.839669,USA
379,Detroit,34.010874,-88.16063,USA
380,Dickinson,31.717167,-87.656929,USA
381,Dixons Mills,32.067209,-87.745356,USA
382,Docena,33.559444,-86.931111,USA
383,Dolomite,33.465424,-86.956435,USA
384,Dora,33.734947,-87.040148,USA
385,Dothan,31.202888,-85.418036,USA
386,Double Springs,34.138682,-87.397431,USA
387,Dozier,31.506614,-86.366315,USA
388,Duncanville,33.082815,-87.494977,USA
389,Dutton,34.604558,-85.906729,USA
390,East Tallassee,32.607222,-85.808056,USA
391,Eastaboga,33.603132,-85.96075,USA
392,Echola,33.316559,-87.807202,USA
393,Eclectic,32.65419,-86.031614,USA
394,Edwardsville,33.707222,-85.509167,USA
395,Eight Mile,30.795074,-88.182311,USA
396,Elba,31.41373,-86.077728,USA
397,Elberta,30.394239,-87.58896,USA
398,Eldridge,33.931546,-87.619397,USA
399,Elkmont,34.915241,-86.910452,USA
400,Elmore,32.545378,-86.316134,USA
401,Elrod,33.343678,-87.801429,USA
402,Emelle,32.754963,-88.305747,USA
403,Empire,33.825589,-87.016139,USA
404,Enterprise,31.340789,-85.842111,USA
405,Epes,32.763371,-88.161443,USA
406,Equality,32.813908,-86.105064,USA
407,Estillfork,34.913017,-86.171571,USA
408,Ethelsville,33.386816,-88.221987,USA
409,Eufaula,31.905063,-85.165605,USA
410,Eutaw,32.888871,-87.930297,USA
411,Eva,34.347778,-86.704427,USA
412,Excel,31.427778,-87.341389,USA
413,Fackler,34.82589,-85.984648,USA
414,Fairfield,33.473494,-86.918262,USA
415,Fairhope,30.50116,-87.883546,USA
416,Falkville,34.347653,-86.913086,USA
417,Faunsdale,32.423259,-87.618079,USA
418,Fayette,33.697397,-87.834647,USA
419,Fitzpatrick,32.151607,-85.888329,USA
420,Five Points,33.042408,-85.324264,USA
421,Flat Rock,34.807598,-85.708372,USA
422,Flomaton,31.040233,-87.266365,USA
423,Florala,31.017194,-86.338528,USA
424,Florence,34.830547,-87.655985,USA
425,Foley,30.400664,-87.685737,USA
426,Forest Home,31.85318,-86.786377,USA
427,Forkland,32.644661,-87.881676,USA
428,Fort Davis,32.28945,-85.700688,USA
429,Fort Deposit,31.995979,-86.576142,USA
430,Fort Mitchell,32.341389,-85.021667,USA
431,Fort Payne,34.436792,-85.712394,USA
432,Fort Rucker,31.348011,-85.721374,USA
433,Fosters,33.135859,-87.735688,USA
434,Franklin,31.723815,-87.441237,USA
435,Frankville,31.64684,-88.133185,USA
436,Frisco City,31.423478,-87.381744,USA
437,Fruitdale,31.348843,-88.376597,USA
438,Fruithurst,33.771732,-85.43814,USA
439,Fulton,31.790947,-87.708065,USA
440,Fultondale,33.611283,-86.813614,USA
441,Furman,32.006667,-86.966944,USA
442,Fyffe,34.437284,-85.928849,USA
443,Gadsden,33.997248,-86.010279,USA
444,Gainestown,31.425822,-87.682176,USA
445,Gainesville,32.908364,-88.271558,USA
446,Gallant,33.997586,-86.234606,USA
447,Gallion,32.529771,-87.698542,USA
448,Gantt,31.416909,-86.419836,USA
449,Garden City,34.014444,-86.746944,USA
450,Gardendale,33.71891,-86.822481,USA
451,Gaylesville,34.357324,-85.558893,USA
452,Geneva,31.041445,-85.884748,USA
453,Georgiana,31.628662,-86.733965,USA
454,Geraldine,34.343864,-86.040393,USA
455,Gilbertown,31.866602,-88.326514,USA
456,Glen Allen,33.899444,-87.730278,USA
